기업ID,기업명,연도,TO정원
C001,(주)경리업무를잘하는청년들,2023,2
C001,(주)경리업무를잘하는청년들,2024,4
C001,(주)경리업무를잘하는청년들,2025,5
C002,리현커머스,2023,1
C003,하우스스튜디오,2023,1
C003,하우스스튜디오,2024,2
C003,하우스스튜디오,2025,1
C004,아트크루,2023,1
C004,아트크루,2025,1
C005,(주)와컴퍼니,2024,4
C005,(주)와컴퍼니,2025,3
C006,세무법인청년들 본점,2023,30
C006,세무법인청년들 본점,2024,30
C006,세무법인청년들 본점,2025,30
C007,살롱드(SALONDE)머바르니 (2호점),2023,3
C007,살롱드(SALONDE)머바르니 (2호점),2024,3
C008,머바르니 네일 기흥본점 (1호점),2023,2
C008,머바르니 네일 기흥본점 (1호점),2024,2
C009,주식회사 머바르니,2023,1
C009,주식회사 머바르니,2024,2
C011,다원메디칼,2023,2
C011,다원메디칼,2024,3
C012,본치과기공소,2023,3
C012,본치과기공소,2024,4
C012,본치과기공소,2025,3
C013,(주)대성의료종합가스,2025,8
C014,제이엠컴퍼니,2024,2
C015,놀러오개 애견유치원 ~,2025,3
C016,(주)비젼디자인,2024,3
C010,머바르니스파&에스테틱,2024,2
C017,플러스82,2024,8
C018,주식회사 사우스코어,2025,3
C019,주식회사 메데이아,2024,2
C020,바이도,2025,2
C017,플러스82,2025,8
C001,(주)경리업무를잘하는청년들,2026,7
C003,하우스스튜디오,2026,1
